"id" "매출" "기대수익" "호텔이용" "성별" "연령" "국적" "멤버십 등급" "회원가입일"
"1" 1 80000 992 "N" "M" 47 "CHINA" "레드" 20180903
"2" 2 -320000 590479 "Y" "M" 81 "JAPAN" "골드" 20130226
"3" 3 -2593000 335948 "N" "M" 42 "JAPAN" "레드" 20191005
"4" 4 250000 19500 "N" "M" 38 "CHINA" "레드" 20190706
"5" 5 360000 71612 "N" "M" 47 "CHINA" "퍼플" 20170823
"6" 6 927000 347648 "N" "M" 21 "JAPAN" "레드" 20191231
"7" 7 1910000 338568 "N" "M" 43 "JAPAN" "레드" 20180213
"8" 8 130000 69000 "N" "M" 39 "CHINA" "레드" 20181208
"9" 9 -6e+05 126702 "N" "M" 35 "CHINA" "레드" 20190919
"10" 10 1e+05 7623 "N" "F" 27 "JAPAN" "레드" 20180603
"11" 11 14000 346048 "N" "M" 48 "JAPAN" "레드" 20180914
"12" 12 53500 2724 "N" "M" 48 "JAPAN" "레드" 20200101
"13" 13 629250 11996 "Y" "M" 59 "JAPAN" "레드" 20060117
"14" 14 3500 20401 "Y" "M" 25 "JAPAN" "레드" 20191227
"15" 15 50000 1712 "N" "F" 22 "JAPAN" "레드" 20200101
"16" 16 90000 4342 "N" "M" 28 "JAPAN" "레드" 20160602
"17" 17 2827500 98721 "N" "M" 25 "JAPAN" "레드" 20181018
"18" 18 550000 226664 "N" "F" 45 "JAPAN" "레드" 20191231
"19" 19 -190000 319500 "N" "F" 49 "CHINA" "골드" 20171011
"20" 20 30000 595 "N" "M" 55 "CHINA" "레드" 20190419
"21" 21 1140000 103032 "N" "M" 60 "JAPAN" "레드" 20181231
"22" 22 310000 239536 "N" "F" 33 "JAPAN" "레드" 20191231
"23" 23 70000 762 "N" "F" 24 "JAPAN" "레드" 20191231
"24" 24 -20000 11567 "N" "M" 31 "JAPAN" "레드" 20191231
"25" 25 780000 64222 "N" "M" 58 "JAPAN" "레드" 20170917
"26" 26 -1589200 116339 "N" "F" 29 "LAO PEOPLE'S DEMOCRATIC REPUBLIC" "레드" 20171103
"27" 27 50000 3888 "N" "M" 22 "DENMARK" "레드" 20191230
"28" 28 570000 113013 "N" "M" 28 "JAPAN" "레드" 20191231
"29" 29 -10000 18342 "N" "M" 71 "JAPAN" "레드" 20191231
"30" 30 170000 21809 "N" "M" 26 "JAPAN" "레드" 20191231
"31" 31 60000 14580 "Y" "M" 38 "JAPAN" "레드" 20191228
"32" 32 2335000 249503 "N" "M" 55 "JAPAN" "퍼플" 20180525
"33" 33 10000 1074 "N" "M" 34 "INDIA" "레드" 20191109
"34" 34 590000 62043 "N" "M" 55 "JAPAN" "레드" 20170428
"35" 35 120000 79969 "Y" "M" 30 "CHINA" "레드" 20190406
"36" 36 1120000 19732 "N" "M" 39 "CHINA" "골드" 20171024
"37" 37 -23600000 1927800 "N" "M" 24 "JAPAN" "퍼플" 20190203
"38" 38 80000 48696 "N" "M" 42 "JAPAN" "레드" 20160602
"39" 39 0 16767 "N" "M" 24 "JAPAN" "레드" 20191231
"40" 40 187000 33527 "N" "M" 31 "JAPAN" "레드" 20191231
"41" 41 -5e+05 57596 "N" "F" 48 "JAPAN" "레드" 20191229
"42" 42 1400000 58088 "N" "M" 45 "JAPAN" "퍼플" 20170111
"43" 43 -10000 796 "N" "M" 42 "CHINA" "레드" 20170102
"44" 44 250000 29706 "N" "M" 29 "JAPAN" "레드" 20191231
"45" 45 13080000 957512 "N" "M" 27 "JAPAN" "퍼플" 20170917
"46" 46 30000 133359 "N" "M" 48 "JAPAN" "레드" 20190813
"47" 47 660000 143050 "N" "M" 49 "JAPAN" "레드" 20191230
"48" 48 750000 73898 "N" "M" 62 "TAIWAN" "레드" 20190411
"49" 49 -1430000 248522 "N" "M" 33 "JAPAN" "레드" 20191230
"50" 50 -1700000 413155 "N" "M" 37 "JAPAN" "레드" 20191230
"51" 51 20000 2335 "N" "M" 25 "JAPAN" "레드" 20191231
"52" 52 -50000 9722 "N" "M" 32 "CANADA" "레드" 20191231
"53" 53 -219500 30744 "N" "M" 36 "JAPAN" "레드" 20191231
"54" 54 -890000 65865 "N" "M" 30 "JAPAN" "레드" 20191129
"55" 55 -279500 271678 "N" "M" 50 "JAPAN" "레드" 20191024
"56" 56 350000 51925 "N" "M" 29 "JAPAN" "레드" 20191231
"57" 57 50000 4131 "N" "M" 21 "JAPAN" "레드" 20191231
"58" 58 390000 95368 "N" "M" 28 "JAPAN" "레드" 20191230
"59" 59 -150000 22869 "N" "M" 39 "MYANMAR" "퍼플" 20181001
"60" 60 1830550 87333 "N" "M" 50 "JAPAN" "레드" 20120217
"61" 61 12180000 1515032 "N" "M" 41 "JAPAN" "골드" 20180103
"62" 62 -70000 56943 "N" "F" 47 "JAPAN" "레드" 20190824
"63" 63 1140000 44781 "N" "M" 23 "JAPAN" "퍼플" 20180210
"64" 64 -550000 34038 "N" "M" 49 "JAPAN" "퍼플" 20190601
"65" 65 220000 42010 "N" "M" 26 "JAPAN" "레드" 20191231
"66" 66 -1e+05 23834 "N" "M" 37 "MALAYSIA" "레드" 20191230
"67" 67 141000 48418 "N" "M" 45 "JAPAN" "레드" 20191231
"68" 68 -180000 176600 "N" "F" 34 "JAPAN" "레드" 20190805
"69" 69 -2320000 205702 "N" "M" 36 "JAPAN" "레드" 20180506
"70" 70 -7e+05 382239 "Y" "M" 63 "JAPAN" "레드" 20191014
"71" 71 265000 128988 "N" "M" 36 "JAPAN" "레드" 20191230
"72" 72 1010000 15428 "N" "M" 59 "JAPAN" "퍼플" 20170715
"73" 73 -990000 207162 "N" "M" 54 "JAPAN" "레드" 20170723
"74" 74 20000 623 "N" "M" 39 "JAPAN" "레드" 20191231
"75" 75 -3260000 233764 "N" "M" 50 "JAPAN" "레드" 20191231
"76" 76 690000 83611 "N" "M" 44 "CHINA" "레드" 20190216
"77" 77 2555000 490263 "N" "M" 46 "JAPAN" "골드" 20160602
"78" 78 -1e+05 1742 "N" "M" 26 "JAPAN" "레드" 20191231
"79" 79 1e+05 1089 "Y" "M" 35 "JAPAN" "레드" 20191229
"80" 80 620500 46151 "N" "M" 30 "JAPAN" "레드" 20181105
"81" 81 40000 5232 "N" "M" 40 "CHINA" "레드" 20191213
"82" 82 -7e+05 62092 "N" "M" 53 "TAIWAN" "레드" 20140629
"83" 83 520000 79498 "N" "M" 39 "JAPAN" "레드" 20120714
"84" 84 173500 91792 "N" "M" 28 "JAPAN" "레드" 20170624
"85" 85 -1e+05 8490 "N" "F" 26 "JAPAN" "레드" 20200101
"86" 86 380000 32318 "N" "M" 54 "CHINA" "퍼플" 20191116
"87" 87 -160000 150724 "N" "F" 36 "JAPAN" "레드" 20191229
"88" 88 2e+05 18155 "N" "M" 37 "CHINA" "레드" 20191014
"89" 89 7420000 251324 "N" "M" 28 "VIETNAM" "레드" 20150912
"90" 90 280000 597176 "Y" "M" 33 "JAPAN" "레드" 20191231
"91" 91 440000 12296 "N" "M" 28 "JAPAN" "레드" 20191109
"92" 92 -90000 77498 "N" "M" 36 "JAPAN" "레드" 20181215
"93" 93 0 3892 "N" "M" 60 "CHINA" "레드" 20190615
"94" 94 1770000 255520 "N" "M" 57 "JAPAN" "퍼플" 20170715
"95" 95 70000 5638 "N" "F" 25 "JAPAN" "레드" 20191231
"96" 96 -2550000 478345 "Y" "M" 30 "JAPAN" "레드" 20191230
"97" 97 -20000 2754 "N" "M" 47 "JAPAN" "레드" 20191230
"98" 98 -70000 26995 "N" "F" 32 "LAO PEOPLE'S DEMOCRATIC REPUBLIC" "레드" 20170424
"99" 99 -3760000 486520 "N" "M" 36 "JAPAN" "퍼플" 20191230
"100" 100 0 4751 "N" "M" 61 "JAPAN" "레드" 20191229
